a	a:
argasta	a r k a s t a
argentína	a r k E n t i: n a
argentínu	a r k E n t i: n Y
argon	a r k O n
argosar	a r k O s a r
argur	a r k Y r
ari	a: r I
arinbjörn	a: r I n p j 9 t n_0
arininn	a: r I n I n
arka	a r_0 k a
arkar	a r_0 k a r
arkir	a r_0 c I r
arkitekt	a r_0 c I t E x t
arkitekta	a r_0 c I t E x t a
arkitektar	a r_0 c I t E x t a r
arkitektarnir	a r_0 c I t E x t a t n I r
arkitektinn	a r_0 c I t E x t I n
arkitekts	a r_0 c I t E x t s
arkitektsins	a r_0 c I t E x t s I n s
arkitektum	a r_0 c I t E x t Y m
arkitektúr	a r_0 c I t E x t u r
arma	a r m a
armana	a r m a n a
armar	a r m a r
armband	a r m p a n t
armbandsúr	a r m p a n t s u r
armbandsúrið	a r m p a n t s u: r I D
armbeygjur	a r m p ei j Y r
armbönd	a r m p 9 n t
armena	a r m E n a
armenar	a r m E n a r
armeni	a r m E n I
armensku	a r m E n s k Y
armeníu	a r m E n i j Y
armi	a r m I
arminn	a r m I n
arminum	a r m I n Y m
armkútar	a r m k u t a r
armur	a r m Y r
armæðu	a r m ai D Y
arna	a r t n a
arnald	a r t n a l t
arnalds	a r t n a l t s
arnaldur	a r t n a l t Y r
arnar	a r t n a r
arnarfjarðardali	a r t n a r f j a r D a t a: l I
arnari	a r t n a r I
arnarneshjöllunum	a r t n a r n E s C 9 t l O n Y m
arnarnesvog	a r t n a r n E s v O: G
arnarnesvogi	a r t n a r n E s v Oi j I
arnars	a r t n a r_0 s
arnbjörg	a r t n p j 9 r k
arnbjörgu	a r t n p j 9 r k Y
arnbjörnsson	a r t n p j 9 r_0 s O: n
arndal	a r t n t a: l
arndís	a r t i s
arnfinnsson	a r t n f I n s O: n
arnfríður	a r t n f r i D Y r
arngerður	a r t n c E r D Y r
arngrímur	a r t n k r i m Y r
arnheiður	a r t n h ei D Y r
arni	a r t n I
arninum	a r t n I n Y m
arnljótur	a r t n l j ou t Y r
arnór	a r t n ou r
arnórs	a r t n ou r_0 s
arnþrúður	a r t n T r u D Y r
arnþór	a r t n T ou r
aron	a: r O n
aroni	a: r O n I
arons	a: r O n s
aronson	a: r O n s O: n
artemisar	a r_0 t E m I s a r
arthúr	a r_0 t u r
aría	a: r i j a
aríu	a: r i j Y
aríur	a: r i j Y r
arða	a r D a
arðbær	a r D p ai r
arðgreiðslur	a r D k r ei D s t l Y r
arði	a r D I
arðs	a r D s
arðsemi	a r D s E m I
arður	a r D Y r
as	a: s
asa	a: s a
asalaust	a: s a l 9Y s t
asi	a: s I
ask	a s k
aska	a s k a
askan	a s k a n
aski	a s c I
askinum	a s c I n Y m
askja	a s c a
askur	a s k Y r
askvaðandi	a s k v a D a n t I
asna	a s t n a
asnann	a s t n a n
asnans	a s t n a n s
asnanum	a s t n a n Y m
asnar	a s t n a r
asnaskinn	a s t n a s c I n
asnaðist	a s t n a D I s t
asni	a s t n I
asninn	a s t n I n
aspar	a s p a r
astekar	a s t E k a r
astma	a s m a
astrid	a s t r I t
asíu	a: s i j Y
at	a: t
ata	a: t a
atarna	a t a r t n a
atast	a: t a s t
ataður	a: t a D Y r
atbeina	a: t p ei n a
atburð	a: t p Y r D
atburðanna	a: t p Y r D a n a
atburðar	a: t p Y r D a r
atburðarásin	a: t p Y r D a r au: s I n
atburðarásina	a: t p Y r D a r au: s I n a
atburðarásinni	a: t p Y r D a r au: s I n I
atburði	a: t p Y r D I
atburðina	a: t p Y r D I n a
atburðinn	a: t p Y r D I n
atburðinum	a: t p Y r D I n Y m
atburðir	a: t p Y r D I r
atburðirnir	a: t p Y r D I t n I r
atburðum	a: t p Y r D Y m
atburðunum	a: t p Y r D O n Y m
atburður	a: t p Y r D Y r
atburðurinn	a: t p Y r D Y r I n
atferli	a: t f E r t l I
atferlistruflaðir	a: t f E r t l I s t r Y p l a D I r
atgervi	a: t c E r v I
athafna	a: t a p n a
athafnamannsekja	a: t_h a p n a m a n s E c a
athafnasemi	a: t a p n a s E: m I
athafnir	a: t a p n I r
athlægi	a: t l_0 ai j I
athuga	a: t Y G a
athugana	a: t Y G a n a
athuganir	a: t Y G a n I r
athugasemd	a: t Y G a s E m t
athugasemda	a: t Y G a s E m t a
athugasemdina	a: t Y G a s E m t I n a
athugasemdir	a: t Y G a s E m t I r
athugasemdirnar	a: t Y G a s E m t I t n a r
athugasemdum	a: t Y G a s E m t Y m
athugað	a: t Y G a D
athugaðu	a: t Y G a D Y
athugull	a: t Y G Y t l_0
athugult	a: t Y G Y l_0 t
athugun	a: t Y G Y n
athugunar	a: t Y G Y n a r
athugunum	a: t Y G Y n Y m
athuguðu	a: t Y G Y D Y
athvarf	a: t k v a r v
athyglin	a: t I k l I n
athyglina	a: t I k l I n a
athyglinni	a: t I k l I n I
athyglissýkina	a: t_h I k l I s i: c I n a
athyglisverðasta	a: t I k l I s v E r D a s t a
athyglisverðri	a: t_h I k l I s v E r D r I
athyglisverðum	a: t I k l I s v E r D Y m
athyglisverður	a: t I k l I s v E r D Y r
athyglisverðustu	a: t I k l I s v E r D Y s t Y
athæfi	a: t ai v I
athöfn	a: t 9 p n_0
athöfnin	a: t 9 p n I n
athöfnina	a: t 9 p n I n a
athöfninni	a: t 9 p n I n I
athöfnum	a: t 9 p n Y m
atkvæða	a: t k v ai D a
atkvæðagreiðslan	a: t k v ai D a k r ei D s t l a n
atkvæðagreiðsluna	a: t k v ai D a k r ei D s t l Y n a
atkvæðagreiðslunnar	a: t k v ai D a k r ei D s t l Y n a r
atkvæðagreiðslunni	a: t k v ai D a k r ei D s t l Y n I
atkvæðanna	a: t k v ai D a n a
atkvæði	a: t k v ai D I
atkvæðin	a: t k v ai D I n
atkvæðum	a: t k v ai D Y m
atla	a h t l a
atlaga	a: t l a G a
atlantis	a h t l a n t I s
atlantshaf	a h t l a n t s h a: v
atlantshafi	a h t l a n t s h a: v I
atlantshafið	a h t l a n t s h a: v I D
atlantshafs	a h t l a n s h a f s
atlantsskip	a h t l a n t s c I p
atlantsskipa	a h t l a n t s c I p a
atlas	a h t l a s
atlasfjalla	a h t l a s f j a t l a
atlot	a: t l O t
atlæti	a: t l ai t I
atlögu	a: t l 9 G Y
atorku	a: t O r_0 k Y
atrennu	a: t r E n Y
atriða	a: t r I D a
atriði	a: t r I D I
atriðinu	a: t r I D I n Y
atriðið	a: t r I D I D
atriðum	a: t r I D Y m
atskákir	a: t s k au c I r
att	a h t
atvik	a: t v I k
atvika	a: t v I k a
atvikaðist	a: t v I k a D I s t
atviki	a: t v I c I
atvikin	a: t v I c I n
atvikinu	a: t v I c I n Y
atvikið	a: t v I c I D
atviks	a: t v I k s
atvinna	a: t v I n a
atvinnu	a: t v I n Y
atvinnugreinin	a: t v I n Y k r ei: n I n
atvinnuhúsnæðis	a: t v I n Y h u s t n ai D I s
atvinnulausir	a: t v I n Y l 9Y: s I r
atvinnuleysis	a: t v I n Y l ei: s I s
atvinnuleysisbæturnar	a: t v I n Y l ei: s I s p ai: t Y t n a r
atvinnuleysið	a: t v I n Y l ei: s I D
atvinnurekanda	a: t v I n Y r E: k a n t a
atvinnurekandann	a: t v I n Y r E: k a n t a n
atvinnurekandi	a: t v I n Y r E: k a n t I
atvinnurekenda	a: t v I n Y r E: k E n t a
atvinnurekendum	a: t v I n Y r E: k E n t Y m
atvinnurekendur	a: t v I n Y r E: k E n t Y r
aufúsugestur	9Y: f u s Y c E s t Y r
auga	9Y: G a
augabrúnina	9Y: G a p r u: n I n a
augabrúninni	9Y: G a p r u: n I n I
augabrúnirnar	9Y: G a p r u: n I t n a r
augabrúnum	9Y: G a p r u: n Y m
augabrúnunum	9Y: G a p r u: n O n Y m
augabrýnnar	9Y: G a p r i t n a r
augabrýrnar	9Y: G a p r i t n a r
augans	9Y: G a n s
auganu	9Y: G a n Y
augasteinarnir	9Y: G a s t ei: n a t n I r
augað	9Y: G a D
auglit	9Y G l I t
augliti	9Y G l I t I
auglitis	9Y G l I t I s
augljós	9Y G l j ou s
augljósa	9Y G l j ou s a
augljósar	9Y G l j ou s a r
augljóslega	9Y G l j ou s t l E G a
augljósri	9Y G l j ou s r I
augljóst	9Y G l j ou s t
augljósu	9Y G l j ou s Y
augljósum	9Y G l j ou s Y m
auglýsa	9Y G l i s a
auglýsenda	9Y G l i s E n t a
auglýsendur	9Y G l i s E n t Y r
auglýsing	9Y G l i s i N k
auglýsinga	9Y G l i s i N k a
auglýsingar	9Y G l i s i N k a r
auglýsingarnar	9Y G l i s i N k a t n a r
auglýsingum	9Y G l i s i N k Y m
auglýsinguna	9Y G l i s i N k Y n a
auglýsingunni	9Y G l i s i N k Y n I
auglýsir	9Y G l i s i r
auglýst	9Y G l i s t
auglýstar	9Y G l i s t a r
auglýsti	9Y G l i s t I
auglýstu	9Y G l i s t Y
auglýstur	9Y G l i s t Y r
augna	9Y k n a
augnabliki	9Y k n a p l I: c I
augnablikinu	9Y k n a p l I: c I n Y
augnablikið	9Y k n a p l I: c I D
augnabliks	9Y k n a p l I k s
augnabliksins	9Y k n a p l I k s I n s
augnagotum	9Y k n a k O: t Y m
augnagotur	9Y k n a k O: t Y r
augnakrókunum	9Y k n a k r ou: k O n Y m
augnalokunum	9Y k n a l O: k O n Y m
augnanna	9Y k n a n a
augnaráði	9Y k n a r au: D I
augnaráðinu	9Y k n a r au: D I n Y
augnaráðið	9Y k n a r au: D I D
augnlok	9Y k n l O k
augnlokin	9Y k n l O c I n
augnlokum	9Y k n l O k Y m
augnlokunum	9Y k n l O k O n Y m
augnsambandi	9Y k n s a m p a n t I
augnskugga	9Y k n s k Y k a
augsýn	9Y x s i n
augsýnilega	9Y x s i n I l E G a
augu	9Y: G Y
augum	9Y: G Y m
augun	9Y: G Y n
augunum	9Y: G O n Y m
auk	9Y: k
auka	9Y: k a
aukana	9Y: k a n a
aukaspyrnu	9Y: k a s p I r t n Y
aukast	9Y: k a s t
auki	9Y: c I
aukin	9Y: c I n
aukinn	9Y: c I n
aukinna	9Y: c I n a
aukinnar	9Y: c I n a r
aukinni	9Y: c I n I
aukins	9Y: c I n s
aukist	9Y: c I s t
aukið	9Y: c I D
aukna	9Y h k n a
auknar	9Y h k n a r
aukning	9Y h k n i N k
aukningar	9Y h k n i N k a r
aukningin	9Y h k n i J c I n
aukningu	9Y h k n i N k Y
auknu	9Y h k n Y
auknum	9Y h k n Y m
aulafyndni	9Y: l a f I n t n I
auli	9Y: l I
auma	9Y: m a
auman	9Y: m a n
aumi	9Y: m I
aumingi	9Y: m i J c I
auminginn	9Y: m i J c I n
aumingja	9Y: m i J c a
aumingjann	9Y: m i J c a n
aumingjans	9Y: m i J c a n s
aumingjar	9Y: m i J c a r
aumingjarnir	9Y: m i J c a t n I r
aumkunarvert	9Y m_0 k Y n a r v E r_0 t
aumt	9Y m_0 t
aumum	9Y: m Y m
aumur	9Y: m Y r
aur	9Y: r
aura	9Y: r a
aurum	9Y: r Y m
ausa	9Y: s a
ausandi	9Y: s a n t I
ausið	9Y: s I D
austan	9Y s t a n
austar	9Y s t a r
austast	9Y s t a s t
austfirði	9Y s t f I r D I
austfirðinga	9Y s t f I r D i N k a
austfirðingar	9Y s t f I r D i N k a r
austfirðingum	9Y s t f I r D i N k Y m
austfjörðum	9Y s t f j 9 r D Y m
austri	9Y s t r I
austur	9Y s t Y r
austurborginni	9Y s t Y r p O r c I n I
austurlenska	9Y s t Y r l E n s k a
austurlensku	9Y s t Y r l E n s k Y
austurríkis	9Y s t Y r i c I s
austurríska	9Y s t Y r i s k a
austurrísku	9Y s t Y r i s k Y
austurs	9Y s t Y r_0 s
ausu	9Y: s Y
ausuna	9Y: s Y n a
autt	9Y h t
auð	9Y: D
auðan	9Y: D a n
auðar	9Y: D a r
auðfundið	9Y D f Y n t I D
auðga	9Y D k a
auðgast	9Y D k a s t
auðgað	9Y D k a D
auðheyrilega	9Y D h ei r I l E G a
auði	9Y D I
auðir	9Y D I r
auðið	9Y D I D
auðlegð	9Y D l E G D
auðlindagjalds	9Y D l I n t a c a l t s
auðlindanna	9Y D l I n t a n a
auðlindina	9Y D l I n t I n a
auðlindinni	9Y D l I n t I n I
auðlindum	9Y D l I n t Y m
auðmjúklega	9Y D m j u k l E G a
auðmýkingu	9Y D m i c i N k Y
auðmýkja	9Y D m i c a
auðmýkt	9Y D m i x t
auðn	9Y D n
auðnast	9Y D n a s t
auðnaðist	9Y D n a D I s t
auðnina	9Y D n I n a
auðninni	9Y D n I n I
auðnu	9Y D n Y
auðri	9Y D r I
auðsjáanlega	9Y D s j au a n l E G a
auðsæilega	9Y D s ai j I l E G a
auðsætt	9Y D s ai h t
auðsýnilega	9Y D s i n I l E G a
auðtrúa	9Y D t r u a
auðu	9Y: D Y
auðuga	9Y: D Y G a
auðugra	9Y: D Y G r a
auðugri	9Y: D Y G r I
auðugt	9Y: D Y G t
auðugum	9Y: D Y G Y m
auðugur	9Y: D Y G Y r
auðum	9Y: D Y m
auðun	9Y: D Y n
auðunn	9Y: D Y n
auðuns	9Y: D Y n s
auður	9Y: D Y r
auðveld	9Y D v E l t
auðvelda	9Y D v E l t a
auðveldan	9Y D v E l t a n
auðveldar	9Y D v E l t a r
auðveldara	9Y D v E l t a r a
auðveldari	9Y D v E l t a r I
auðveldast	9Y D v E l t a s t
auðveldað	9Y D v E l t a D
auðveldaði	9Y D v E l t a D I
auðveldlega	9Y D v E l t l E G a
auðveldur	9Y D v E l t Y r
auðveldust	9Y D v E l t Y s t
auðvelt	9Y D v E l_0 t
auðvitað	9Y D v I t a D
auðæfi	9Y D ai v I
auðæfum	9Y D ai v Y m
avis	a: v I s
ax	a k s
axarskaft	a k s a r s k a f t
axarsköft	a k s a r s k 9 f t
axel	a k s E l
axels	a k s E l s
axir	a k s I r
axla	a k s t l a
axli	a k s t l I
axlir	a k s t l I r
axlirnar	a k s t l I r t n a r
að	a: D
aðal	a: D a l
aðalatriðið	a: D a l a t r I D I D
aðalfréttirnar	a: D a l f r j E h t I t n a r
aðalfundinum	a: D a l f Y n t I n Y m
aðalfundurinn	a: D a l f Y n t Y r I n
aðalfylkingar	a: D a l f I l_0 c i N k a r
aðalgötuna	a: D a l k 9: t Y n a
aðalhlutverkin	a: D a l_0 Y t v E r_0 c I n
aðalhlutverkum	a: D a l_0 Y t v E r_0 k Y m
aðaljárnbrautarstöðinni	a: D a l j au t n p r 9Y t a r s t 9: D I n I
aðalkvöldfréttatími	a: D a l k v 9 l t f r j E h t a t i: m I
aðalleikendur	a: D a l ei: k E n t Y r
aðalnámskrá	a: D a l n au m s k r au
aðalnámskránni	a: D a l n au m s k r au n I
aðalnámskrár	a: D a l n au m s k r au r
aðalpersónan	a: D a l p E r_0 s ou n a n
aðalpósthúsinu	a: D a l p ou s t h u s I n Y
aðalritstjóra	a: D a l r I: t s t j ou r a
aðalritstjórann	a: D a l r I: t s t j ou r a n
aðalritstjórans	a: D a l r I: t s t j ou r a n s
aðalréttinum	a: D a l r j E h t I n Y m
aðalrétturinn	a: D a l r j E h t Y r I n
aðalsafnaðarfundur	a: D a l s a p n a D a r f Y n t Y r
aðalsagnarinnar	a: D a l s a k n a r I n a r
aðalsalnum	a: D a l s a l n Y m
aðalskipulagi	a: D a l s c I: p Y l ai: j I
aðalskipulaginu	a: D a l s c I: p Y l ai: j I n Y
aðalskipulags	a: D a l s c I p Y l a x s
aðalskipulagsskyldra	a: D a l s c I p Y l a x s c I l t r a
aðalsmaður	a: D a l s m a: D Y r
aðalsmerki	a: D a l s m E r_0 c I
aðalsteini	a: D a l s t ei: n I
aðalsteinsdóttir	a: D a l s t ei n s t ou h t I r
aðalsteinsdóttur	a: D a l s t ei n s t ou h t Y r
aðalsteinsson	a: D a l s t ei n s O: n
aðalsteinssonar	a: D a l s t ei n s O: n a r
aðalsteinssyni	a: D a l s t ei n s I: n I
aðalstrætis	a: D a l s t r ai: t I s
aðalstöðvunum	a: D a l s t 9 D v O n Y m
aðaltekjulindir	a: D a l t_h E: c Y l I n t I r
aðalvandinn	a: D a l v a n t I n
aðalveginn	a: D a l v ei: j I n
aðalverka	a: D a l v E r_0 k a
aðalverktakar	a: D a l v E r_0 t a k a r
aðalástæðan	a: D a l au s t ai D a n
aðdraganda	a D t r a G a n t a
aðdragandi	a D t r a G a n t I
aðdráttarafl	a D t r au h t a r a p l_0
aðdráttarlinsuna	a D t r au h t a r l I n s Y n a
aðdróttanir	a D t r ou h t a n I r
aðdáandi	a D t au a n t I
aðdáenda	a D t au E n t a
aðdáendum	a D t au E n t Y m
aðdáendur	a D t au E n t Y r
aðdáun	a D t au Y n
aðdáunar	a D t au Y n a r
aðdáunin	a D t au Y n I n
aðdáunina	a D t au Y n I n a
aðeins	a: D ei n s
aðfangadagskvöld	a D f au N k a t a x s k v 9 l t
aðfaranótt	a D f a r a n ou h t
aðfarirnar	a D f a r I t n a r
aðferðinni	a D f E r D I n I
aðfinnslur	a D f I n s t l Y r
aðflugsbúnað	a D f l Y x s p u: n a D
aðflugshallasendum	a D f l Y x s h a t l a s E n t Y m
aðflugsstefnu	a D f l Y x s t E p n Y
aðframkomnir	a D f r a m k O m n I r
aðföng	a D f 9Y N k
aðgangseyrir	a D k au N k s ei: r I r
aðgangstölurnar	a D k au N k s t 9: l Y t n a r
aðgengilegan	a D c ei J c I l E G a n
aðgerða	a D c E r D a
aðgerðanna	a D c E r D a n a
aðgerðirnar	a D c E r D I t n a r
aðgerðunum	a D c E r D O n Y m
aðgát	a D k au t
aðgæta	a D c ai t a
aðgöngumiða	a D k 9Y N k Y m I: D a
aðhafast	a: D h a v a s t
aðhafst	a: D h a f s t
aðhalds	a: D h a l t s
aðhlynningar	a: D l_0 I n i N k a r
aðhlynningu	a: D l_0 I n i N k Y
aðhyllast	a: D h I t l a s t
aðhyllist	a: D h I t l I s t
aðhylltist	a: D h I l_0 t I s t
aðila	a: D I l a
aðilann	a: D I l a n
aðilar	a: D I l a r
aðilarnir	a: D I l a t n I r
aðild	a: D I l t
aðildar	a: D I l t a r
aðili	a: D I l I
aðilinn	a: D I l I n
aðilum	a: D I l Y m
aðkallandi	a D k a t l a n t I
aðkoman	a D k O m a n
aðkomunni	a D k O m Y n I
aðlagast	a D l a G a s t
aðlaðandi	a D l a D a n t I
aðlögun	a D l 9 G Y n
aðnjótandi	a D n j ou t a n t I
aðra	a D r a
aðrar	a D r a r
aðrir	a D r I r
aðsigi	a D s i j I
aðskildi	a D s c I l t I
aðskildu	a D s c I l t Y
aðskildum	a D s c I l t Y m
aðskilnaði	a D s c I l n a D I
aðskilnaður	a D s c I l n a D Y r
aðskotadýr	a D s k O t a t i: r
aðskotahlut	a D s k O t a l_0 Y t
aðskotahlutur	a D s k O t a l_0 Y: t Y r
aðspurð	a D s p Y r D
aðspurðra	a D s p Y r D r a
aðspurður	a D s p Y r D Y r
aðstandenda	a D s t a n t E n t a
aðstandendum	a D s t a n t E n t Y m
aðstandendur	a D s t a n t E n t Y r
aðstaðan	a D s t a D a n
aðsteðjandi	a D s t E D j a n t I
aðstoða	a D s t O D a
aðstoðar	a D s t O D a r
aðstoðarráðherrann	a D s t O D a r au: D h E r a n
aðstoðað	a D s t O D a D
aðstoðaði	a D s t O D a D I
aðstoði	a D s t O D I
aðstoðina	a D s t O D I n a
aðstoðuðu	a D s t O D Y D Y
aðstæðna	a D s t ai D n a
aðstæður	a D s t ai D Y r
aðstæðurnar	a D s t ai D Y t n a r
aðsóknar	a D s ou h k n a r
aðsóknin	a D s ou h k n I n
aðvaraði	a D v a r a D I
aðventista	a D v E n_0 t I s t a
aðventistar	a D v E n_0 t I s t a r
aðventkirkjan	a D v E n_0 t c I r_0 c a n
aðventu	a D v E n_0 t Y
aðventunni	a D v E n_0 t Y n I
aðvörun	a D v 9 r Y n
aþenu	a: T E n Y
badda	p a t a
baddi	p a t I
baddý	p a t i
badminton	p a t m i n t O n
bagaleg	p a: G a l E G
bagalegt	p a: G a l E x t
bagga	p a k a
baggalúti	p a k a l u: t I
baggalúts	p a k a l u: t s
baggalútur	p a k a l u: t Y r
baggi	p a c I
bak	p a: k
baka	p a: k a
bakaleiðinni	p a: k a l ei: D I n I
bakara	p a: k a r a
bakari	p a: k a r I
bakarinn	p a: k a r I n
bakarí	p a: k a r i
bakaríinu	p a: k a r i j I n Y
bakaríið	p a: k a r i j I D
bakað	p a: k a D
bakaði	p a: k a D I
bakdyramegin	p a: k t I r a m ei: j I n
bakföll	p a: k f 9 t l_0
bakgrunna	p a: k r Y n a
bakgrunninum	p a: k r Y n I n Y m
bakgrunnum	p a: k r Y n Y m
bakgrunnur	p a: k r Y n Y r
bakgrunnurinn	p a k r Y n Y r I n
bakhjörlum	p a: k C 9 r t l Y m
bakhliðinni	p a: k l_0 I D I n I
bakhlutann	p a: k l_0 Y t a n
bakhlutanum	p a: k l_0 Y t a n Y m
bakháa	p a: k au a
baki	p a: c I
bakinu	p a: c I n Y
bakið	p a: c I D
bakka	p a h k a
bakkana	p a h k a n a
bakkann	p a h k a n
bakkanum	p a h k a n Y m
bakkar	p a h k a r
bakkara	p a h k a r a
bakkað	p a h k a D
bakki	p a h c I
bakkus	p a h k Y s
bakpokann	p a: k p O k a n
bakpokanum	p a: k p O k a n Y m
bakpokar	p a: k p_h O k a r
baksa	p a x s a
baksessunum	p a: k s E s O n Y m
bakstur	p a k s t Y r
baksvipinn	p a: k s v I p I n
baksýnisspegilinn	p a: k s i n I s p ei j I l I n
baksýnisspeglinum	p a: k s i n I s p ei k l I n Y m
baktería	p a x t E r i j a
bakteríum	p a x t E r i j Y m
bakteríur	p a x t E r i j Y r
bakveröndinni	p a: k v E r 9 n t I n I
bakþanka	p a: k T au N_0 k a
balann	p a: l a n
balavíkur	p a: l a v i k Y r
baldinn	p a l t I n
baldri	p a l t r I
baldur	p a l t Y r
baldurs	p a l t Y r_0 s
baldvin	p a l t v I n
baldvins	p a l t v I n s
baldvinu	p a l t v I n Y
bali	p a: l I
balkanskaga	p a l_0 k a n s k a: G a
ballett	p a l E h t
ballettinn	p a l E h t I n
ballettsins	p a l E h t s I n s
balli	p a l I
ballinu	p a l I n Y
ballið	p a l I D
ballmiðanum	p a l m I D a n Y m
ballöður	p a l 9 D Y r
bals	p a l s
balsa	p a l s a
baltasar	p a l_0 t a s a r
balí	p a: l i
bana	p a: n a
banaleguna	p a: n a l E: G Y n a
banana	p a: n a n a
bananaekrur	p a: n a n a E: k r Y r
bananar	p a: n a n a r
band	p a n t
banda	p a n t a
bandalaginu	p a n t a l ai: j I n Y
bandar	p a n t a r
bandaríkjadala	p a n t a r i: c a t a: l a
bandaríkjadollara	p a n t a r i c a t O l a r a
bandarísk	p a n t a r i s k
bandaríska	p a n t a r i s k a
bandarískan	p a n t a r i s k a n
bandarískar	p a n t a r i s k a r
bandaríski	p a n t a r i s c I
bandarískir	p a n t a r i s c I r
bandarískra	p a n t a r i s k r a
bandarískrar	p a n t a r i s k r a r
bandarískri	p a n t a r i s k r I
bandarísks	p a n t a r i s k s
bandarískt	p a n t a r i s t
bandarísku	p a n t a r i s k Y
bandarískum	p a n t a r i s k Y m
bandarískur	p a n t a r i s k Y r
bandaði	p a n t a D I
bandi	p a n t I
bandinu	p a n t I n Y
bandið	p a n t I D
bandsins	p a n t s I n s
banginn	p au J c I n
bangsa	p au N s a
bangsanum	p au N s a n Y m
bangsar	p au N s a r
bangsi	p au N s I
bangsinn	p au N s I n
bangsímon	p au N s i m O n
banhungruð	p a: n h u N k r Y D
bani	p a: n I
bank	p au N_0 k
banka	p au N_0 k a
bankana	p au N_0 k a n a
bankann	p au N_0 k a n
bankanna	p au N_0 k a n a
bankans	p au N_0 k a n s
bankanum	p au N_0 k a n Y m
bankar	p au N_0 k a r
bankarnir	p au N_0 k a t n I r
bankað	p au N_0 k a D
bankaði	p au N_0 k a D I
banki	p au J_0 c I
bankinn	p au J_0 c I n
banks	p au N_0 s
banna	p a n a
bannar	p a n a r
bannað	p a n a D
bannaðar	p a n a D a r
bannaði	p a n a D I
bannaðir	p a n a D I r
bannaður	p a n a D Y r
banni	p a n I
banninu	p a n I n Y
bannið	p a n I D
banvænt	p a n v ai n_0 t
bar	p a: r
bara	p a: r a
barbara	p a r p a r a
barböru	p a r p 9 r Y
barbörukapella	p a r p 9 r Y k a: p E t l a
bardagaatriðin	p a r t a G a a: t r I D I n
bardagann	p a r t a G a n
bardaganum	p a r t a G a n Y m
bardagi	p a r t ai j I
barentshafi	p a: r E n_0 t s h a: v I
barin	p a: r I n
barinn	p a: r I n
barist	p a: r I s t
barið	p a: r I D
barka	p a r_0 k a
barkakýlið	p a r_0 k a c i: l I D
barkann	p a r_0 k a n
barm	p a r m
barma	p a r m a
barmafullt	p a r m a f Y l_0 t
barmaði	p a r m a D I
barmi	p a r m I
barminn	p a r m I n
barminum	p a r m I n Y m
barn	p a t n_0
barna	p a t n a
barnabarnabörnin	p a t n a p a t n a p 9 t n I n
barnabarnabörnum	p a t n a p a t n a p 9 t n Y m
barnabarnanna	p a t n a p a t n a n a
barnabókum	p a t n a p ou: k Y m
barnabörnin	p a t n a p 9 t n I n
barnabörnum	p a t n a p 9 t n Y m
barnabörnunum	p a t n a p 9 t n O n Y m
barnaexem	p a r t n a E k s E m
barnahlekkur	p a r t n a l_0 E h k Y r
barnakennarinn	p a t n a c E n a r I n
barnalaganna	p a r t n a l a G a n a
barnanna	p a t n a n a
barnapíurnar	p a r t n a p_h i j Y t n a r
barnarúms	p a r t n a r u m s
barnaskapur	p a t n a s k a: p Y r
barnastólar	p a t n a s t ou: l a r
barnavagni	p a t n a v a k n I
barnað	p a t n a D
barnfóstra	p a t n f ou s t r a
barnfóstran	p a t n f ou s t r a n
barnfóstru	p a t n f ou s t r Y
barni	p a t n I
barningur	p a r t n i N k Y r
barninu	p a t n I n Y
barnið	p a t n I D
barnmörgum	p a r t n_0 m 9 r k Y m
barnum	p a r t n Y m
